"x_name","beta","lb","ub","p","transformation","class"
"Arsenic",-0.0695974466801869,-0.601861146269938,0.462666252909564,0.797403522648095,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Metals"
"Arsenic",-0.051841909456596,-0.506699124108018,0.403015305194826,0.822942519166974,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Metals"
"Cadmium",0.149709617997029,-0.357543656806214,0.656962892800273,0.562340290808509,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Metals"
"Cadmium",0.0580250904988995,-0.37854738385158,0.494597564849379,0.794142723980038,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Metals"
"Lead",0.379557919620017,-0.331379558603193,1.09049539784323,0.294786075232183,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Metals"
"Lead",0.126332493223983,-0.316765054535581,0.569430040983546,0.575690137843485,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Metals"
"Mercury",-0.139009640131827,-0.474169964997864,0.196150684734211,0.415586455590939,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Metals"
"Mercury",-0.239123751245271,-0.686919646428136,0.208672143937594,0.294641530634998,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Metals"
"β-HCH",0.00470193005651612,-0.359113055666562,0.368516915779594,0.979755723671876,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Organochlorine pesticides"
"β-HCH",-0.230863371666755,-0.717506798097389,0.255780054763879,0.351266688577335,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Organochlorine pesticides"
"DDE",-0.0561802049916509,-0.568185222668742,0.45582481268544,0.829379594182025,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Organochlorine pesticides"
"DDE",-0.0376451929855411,-0.526156370809419,0.450865984838337,0.879535476079239,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Organochlorine pesticides"
"Oxychlordane",-0.115579994802829,-0.803890574923854,0.572730585318196,0.7416339226511,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Organochlorine pesticides"
"Oxychlordane",-0.194886193254022,-0.679276149898457,0.289503763390414,0.429556939179895,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Organochlorine pesticides"
"trans-Nonachlor",-0.195352650144011,-0.892713050189063,0.50200774990104,0.581785532145435,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Organochlorine pesticides"
